Chip:
Project,Product,Customer,Value,
AVB,AVB,Broadcom,89500_A0,
AVB,AVB,Broadcom,BLANK,
CS,Client Security,Broadcom,5880_A0,
CS,Client Security,Broadcom,5880_B0,
CS,Client Security,Broadcom,5880_B1,
CS,Client Security,Broadcom,5880_C0,
CS,Client Security,Broadcom,5881_C0,
CS,Client Security,Broadcom,5882_A0,
CS,Client Security,Broadcom,5882_B0,
CS,Client Security,Broadcom,5882_B1,
CS,Client Security,Broadcom,5882_C0,
CS,Client Security,Broadcom,5892_A0,
CS,Client Security,Broadcom,5892_B0,
CS,Client Security,Broadcom,5892_B1,
CS,Client Security,Broadcom,5892_C0,
CS,Client Security,Broadcom,ALL,
CS,Client Security,Broadcom,BLANK,
CS,Client Security,Broadcom,NA,
CTRL,NX1,Broadcom,4401,
CTRL,NX1,Broadcom,4401_A1,
CTRL,NX1,Broadcom,4401_A2,
CTRL,NX1,Broadcom,4401_B0,
CTRL,NX1,Broadcom,4401_B1,
CTRL,NX1,Broadcom,4401_E0,
CTRL,NX1,Broadcom,5714,
CTRL,NX1,Broadcom,5714S,
CTRL,NX1,Broadcom,5714S_A0,
CTRL,NX1,Broadcom,5714S_A1,
CTRL,NX1,Broadcom,5714S_A2,
CTRL,NX1,Broadcom,5714S_A3,
CTRL,NX1,Broadcom,5714_A0,
CTRL,NX1,Broadcom,5714_A1,
CTRL,NX1,Broadcom,5714_A2,
CTRL,NX1,Broadcom,5714_A3,
CTRL,NX1,Broadcom,5714_A4,
CTRL,NX1,Broadcom,5714_B0,
CTRL,NX1,Broadcom,5715,
CTRL,NX1,Broadcom,5715S,
CTRL,NX1,Broadcom,5715S_A1,
CTRL,NX1,Broadcom,5715S_A2,
CTRL,NX1,Broadcom,5715S_A3,
CTRL,NX1,Broadcom,5715S_B0,
CTRL,NX1,Broadcom,5715_A0,
CTRL,NX1,Broadcom,5715_A1,
CTRL,NX1,Broadcom,5715_A2,
CTRL,NX1,Broadcom,5715_A3,
CTRL,NX1,Broadcom,5715_B0,
CTRL,NX1,Broadcom,5716,
CTRL,NX1,Broadcom,5716_A1,
CTRL,NX1,Broadcom,5717,
CTRL,NX1,Broadcom,5717S,
CTRL,NX1,Broadcom,5717S_A0,
CTRL,NX1,Broadcom,5717_A0,
CTRL,NX1,Broadcom,5717_A1,
CTRL,NX1,Broadcom,5717_B0,
CTRL,NX1,Broadcom,5717_C0,
CTRL,NX1,Broadcom,5718,
CTRL,NX1,Broadcom,5718_A0,
CTRL,NX1,Broadcom,5718_A1,
CTRL,NX1,Broadcom,5718_B0,
CTRL,NX1,Broadcom,5718_C0,
CTRL,NX1,Broadcom,5718_E0,
CTRL,NX1,Broadcom,5719,
CTRL,NX1,Broadcom,5719_A0,
CTRL,NX1,Broadcom,5719_A1,
CTRL,NX1,Broadcom,5719_A2,
CTRL,NX1,Broadcom,5719_A5,
CTRL,NX1,Broadcom,5719_B0,
CTRL,NX1,Broadcom,5719_E0,
CTRL,NX1,Broadcom,5720,
CTRL,NX1,Broadcom,5720_A0,
CTRL,NX1,Broadcom,5720_A1,
CTRL,NX1,Broadcom,5720_B0,
CTRL,NX1,Broadcom,5721,
CTRL,NX1,Broadcom,5721_A0,
CTRL,NX1,Broadcom,5721_A1,
CTRL,NX1,Broadcom,5721_A2,
CTRL,NX1,Broadcom,5721_A3,
CTRL,NX1,Broadcom,5721_A4,
CTRL,NX1,Broadcom,5721_B0,
CTRL,NX1,Broadcom,5721_B1,
CTRL,NX1,Broadcom,5721_C0,
CTRL,NX1,Broadcom,5721_C1,
CTRL,NX1,Broadcom,5722,
CTRL,NX1,Broadcom,5722_A0,
CTRL,NX1,Broadcom,5722_A1,
CTRL,NX1,Broadcom,5722_A2,
CTRL,NX1,Broadcom,5722_B0,
CTRL,NX1,Broadcom,5722_B1,
CTRL,NX1,Broadcom,5722_C0,
CTRL,NX1,Broadcom,5723,
CTRL,NX1,Broadcom,5723_A0,
CTRL,NX1,Broadcom,5723_A1,
CTRL,NX1,Broadcom,5723_B0,
CTRL,NX1,Broadcom,5723_B1,
CTRL,NX1,Broadcom,5724_A0,
CTRL,NX1,Broadcom,5725,
CTRL,NX1,Broadcom,5725_A0,
CTRL,NX1,Broadcom,5725_A1,
CTRL,NX1,Broadcom,5725_B0,
CTRL,NX1,Broadcom,5727,
CTRL,NX1,Broadcom,5727_B0,
CTRL,NX1,Broadcom,5750,
CTRL,NX1,Broadcom,5750_A0,
CTRL,NX1,Broadcom,5750_A1,
CTRL,NX1,Broadcom,5750_A3,
CTRL,NX1,Broadcom,5750_A4,
CTRL,NX1,Broadcom,5751,
CTRL,NX1,Broadcom,5751F,
CTRL,NX1,Broadcom,5751F_A0,
CTRL,NX1,Broadcom,5751F_A1,
CTRL,NX1,Broadcom,5751F_B0,
CTRL,NX1,Broadcom,5751F_B1,
CTRL,NX1,Broadcom,5751F_C1,
CTRL,NX1,Broadcom,5751M,
CTRL,NX1,Broadcom,5751M_A1,
CTRL,NX1,Broadcom,5751M_A4,
CTRL,NX1,Broadcom,5751M_B0,
CTRL,NX1,Broadcom,5751M_B1,
CTRL,NX1,Broadcom,5751M_C0,
CTRL,NX1,Broadcom,5751M_C1,
CTRL,NX1,Broadcom,5751_A0,
CTRL,NX1,Broadcom,5751_A1,
CTRL,NX1,Broadcom,5751_A2,
CTRL,NX1,Broadcom,5751_A3,
CTRL,NX1,Broadcom,5751_A4,
CTRL,NX1,Broadcom,5751_A5,
CTRL,NX1,Broadcom,5751_B0,
CTRL,NX1,Broadcom,5751_B1,
CTRL,NX1,Broadcom,5751_B2,
CTRL,NX1,Broadcom,5751_C0,
CTRL,NX1,Broadcom,5751_C1,
CTRL,NX1,Broadcom,5751_C2,
CTRL,NX1,Broadcom,5752,
CTRL,NX1,Broadcom,5752M,
CTRL,NX1,Broadcom,5752M_A2,
CTRL,NX1,Broadcom,5752_A0,
CTRL,NX1,Broadcom,5752_A1,
CTRL,NX1,Broadcom,5752_A2,
CTRL,NX1,Broadcom,5752_A3,
CTRL,NX1,Broadcom,5752_B1,
CTRL,NX1,Broadcom,5753,
CTRL,NX1,Broadcom,5753M_A1,
CTRL,NX1,Broadcom,5753M_A2,
CTRL,NX1,Broadcom,5753M_C1,
CTRL,NX1,Broadcom,5753M_C2,
